name,latitude,longitude,size,sizes,flightnum,origindelay,destdelay,avgoriginal,avgdest
Appleton,44.41799927,-88.3769989,small_airport,small,270,0.307407407,0.408088235,5.696296296,5.503676471
Greer,34.82289886,-82.14820099,small_airport,big,536,0.223880597,0.258364312,5.276119403,1.06133829
Barrow,70.71559906,-154.4069977,small_airport,small,80,0.175,0.2,-7.2875,-8.975
Killeen,30.99880028,-97.75589752,small_airport,small,214,0.126168224,0.314814815,-1.719626168,-1.523148148
St. Augustine,29.94910049,-81.49040222,small_airport,small,3,0,0,-8.666666667,-23.66666667
Durango,37.33779907,-107.8519974,small_airport,small,105,0.161904762,0.352380952,8.638095238,-0.447619048
Gunnison,38.53390121,-106.9329987,small_airport,small,48,0.25,0.3125,-0.083333333,4.4375
Mammoth Lakes,37.62409973,-118.8379974,small_airport,small,32,0.28125,0.28125,8.03125,5.25
Devils Lake,48.11420059,-98.90879822,small_airport,small,48,0.166666667,0.395833333,6.604166667,8.8125
Muskegon,43.16949844,-86.23819733,small_airport,small,62,0.322580645,0.403225806,11.91935484,11.80645161
Escanaba,45.72269821,-87.09369659,small_airport,small,52,0.134615385,0.25,10.40384615,2.269230769
